07/05/1916,Austria,Hungary,3,1,Friendly,Vienna,Austria
04/06/1916,Denmark,Sweden,2,0,Friendly,Copenhagen,Denmark
04/06/1916,Hungary,Austria,2,1,Friendly,Budapest,Hungary
25/06/1916,Norway,Denmark,0,2,Friendly,Kristiania,Norway
02/07/1916,Chile,Uruguay,0,4,Copa Amí©rica,Buenos Aires,Argentina
02/07/1916,Sweden,Norway,6,0,Friendly,Stockholm,Sweden
06/07/1916,Argentina,Chile,6,1,Copa Amí©rica,Buenos Aires,Argentina
08/07/1916,Brazil,Chile,1,1,Copa Amí©rica,Buenos Aires,Argentina
10/07/1916,Argentina,Brazil,1,1,Copa Amí©rica,Buenos Aires,Argentina
12/07/1916,Argentina,Chile,1,0,Friendly,Buenos Aires,Argentina
12/07/1916,Brazil,Uruguay,1,2,Copa Amí©rica,Buenos Aires,Argentina
14/07/1916,Uruguay,Chile,4,1,Friendly,Montevideo,Uruguay
17/07/1916,Argentina,Uruguay,0,0,Copa Amí©rica,Avellaneda,Argentina
18/07/1916,Uruguay,Brazil,0,1,Friendly,Montevideo,Uruguay
15/08/1916,Argentina,Uruguay,3,1,Copa Newton,Avellaneda,Argentina
15/08/1916,Uruguay,Argentina,1,2,Copa Lipton,Montevideo,Uruguay
20/08/1916,Sweden,USA,2,3,Friendly,Stockholm,Sweden
03/09/1916,Norway,USA,1,1,Friendly,Kristiania,Norway
01/10/1916,Argentina,Uruguay,7,2,Friendly,Avellaneda,Argentina
01/10/1916,Hungary,Austria,2,3,Friendly,Budapest,Hungary
01/10/1916,Norway,Sweden,0,0,Friendly,Kristiania,Norway
01/10/1916,Uruguay,Argentina,0,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay
08/10/1916,Sweden,Denmark,4,0,Friendly,Stockholm,Sweden
15/10/1916,Denmark,Norway,8,0,Friendly,Copenhagen,Denmark
29/10/1916,Uruguay,Argentina,3,1,Friendly,Montevideo,Uruguay
05/11/1916,Austria,Hungary,3,3,Friendly,Vienna,Austria
06/05/1917,Austria,Hungary,1,1,Friendly,Vienna,Austria
07/05/1917,Japan,Philippines,2,15,Friendly,Tokyo,Japan
03/06/1917,Denmark,Sweden,1,1,Friendly,Copenhagen,Denmark
03/06/1917,Hungary,Austria,6,2,Friendly,Budapest,Hungary
17/06/1917,Norway,Denmark,1,2,Friendly,Kristiania,Norway
15/07/1917,Austria,Hungary,1,4,Friendly,Vienna,Austria
18/07/1917,Uruguay,Argentina,0,2,Copa Premio Honor Uruguayo,Montevideo,Uruguay
15/08/1917,Argentina,Uruguay,1,0,Copa Lipton,Avellaneda,Argentina
19/08/1917,Sweden,Norway,3,3,Friendly,Helsingborg,Sweden
02/09/1917,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay
16/09/1917,Norway,Sweden,0,2,Friendly,Kristiania,Norway
30/09/1917,Uruguay,Chile,4,0,Copa Amí©rica,Montevideo,Uruguay
03/10/1917,Argentina,Brazil,4,2,Copa Amí©rica,Montevideo,Uruguay
06/10/1917,Argentina,Chile,1,0,Copa Amí©rica,Montevideo,Uruguay
07/10/1917,Denmark,Norway,12,0,Friendly,Copenhagen,Denmark
07/10/1917,Hungary,Austria,2,1,Friendly,Budapest,Hungary
07/10/1917,Uruguay,Brazil,4,0,Copa Amí©rica,Montevideo,Uruguay
12/10/1917,Brazil,Chile,5,0,Copa Amí©rica,Montevideo,Uruguay
14/10/1917,Sweden,Denmark,1,2,Friendly,Stockholm,Sweden
14/10/1917,Uruguay,Argentina,1,0,Copa Amí©rica,Montevideo,Uruguay
16/10/1917,Uruguay,Brazil,3,1,Friendly,Montevideo,Uruguay
04/11/1917,Austria,Hungary,1,2,Friendly,Vienna,Austria
23/12/1917,Switzerland,Austria,0,1,Friendly,Basel,Switzerland
26/12/1917,Switzerland,Austria,3,2,Friendly,Zí_rich,Switzerland
14/04/1918,Hungary,Austria,2,0,Friendly,Budapest,Hungary
09/05/1918,Austria,Switzerland,5,1,Friendly,Vienna,Austria
12/05/1918,Hungary,Switzerland,2,1,Friendly,Budapest,Hungary
26/05/1918,Sweden,Norway,2,0,Friendly,Stockholm,Sweden
02/06/1918,Austria,Hungary,0,2,Friendly,Vienna,Austria
02/06/1918,Denmark,Sweden,3,0,Friendly,Copenhagen,Denmark
16/06/1918,Norway,Denmark,3,1,Friendly,Kristiania,Norway
18/07/1918,Uruguay,Argentina,1,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay
28/07/1918,Uruguay,Argentina,3,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay
15/08/1918,Argentina,Uruguay,0,0,Copa Premio Honor Argentino,Buenos Aires,Argentina
25/08/1918,Argentina,Uruguay,2,1,Copa Premio Honor Argentino,Buenos Aires,Argentina
15/09/1918,Norway,Sweden,2,1,Friendly,Kristiania,Norway
20/09/1918,Uruguay,Argentina,1,1,Copa Lipton,Montevideo,Uruguay
29/09/1918,Argentina,Uruguay,2,0,Copa Newton,Buenos Aires,Argentina
06/10/1918,Austria,Hungary,0,3,Friendly,Vienna,Austria
06/10/1918,Denmark,Norway,4,0,Friendly,Copenhagen,Denmark
20/10/1918,Sweden,Denmark,1,2,Friendly,Gothenburg,Sweden
09/03/1919,Belgium,France,2,2,Friendly,Brussels,Belgium
06/04/1919,Hungary,Austria,2,1,Friendly,Budapest,Hungary
11/05/1919,Brazil,Chile,6,0,Copa Amí©rica,Rio de Janeiro,Brazil
11/05/1919,Paraguay,Argentina,1,5,Friendly,Asuncií_n,Paraguay
13/05/1919,Argentina,Uruguay,2,3,Copa Amí©rica,Rio de Janeiro,Brazil
15/05/1919,Paraguay,Argentina,0,3,Friendly,Asuncií_n,Paraguay
17/05/1919,Chile,Uruguay,0,2,Copa Amí©rica,Rio de Janeiro,Brazil
18/05/1919,Brazil,Argentina,3,1,Copa Amí©rica,Rio de Janeiro,Brazil
21/05/1919,Paraguay,Argentina,1,2,Friendly,Asuncií_n,Paraguay
22/05/1919,Argentina,Chile,4,1,Copa Amí©rica,Rio de Janeiro,Brazil
24/05/1919,Paraguay,Argentina,1,2,Friendly,Asuncií_n,Paraguay
26/05/1919,Brazil,Uruguay,2,2,Copa Amí©rica,Rio de Janeiro,Brazil
29/05/1919,Brazil,Uruguay,1,0,Copa Amí©rica,Rio de Janeiro,Brazil
29/05/1919,Sweden,Finland,1,0,Friendly,Stockholm,Sweden
01/06/1919,Brazil,Argentina,3,3,Friendly,Rio de Janeiro,Brazil
05/06/1919,Denmark,Sweden,3,0,Friendly,Copenhagen,Denmark
09/06/1919,Netherlands,Sweden,3,1,Friendly,Amsterdam,Netherlands
12/06/1919,Denmark,Norway,5,1,Friendly,Copenhagen,Denmark
29/06/1919,Norway,Sweden,4,3,Friendly,Kristiania,Norway
18/07/1919,Uruguay,Argentina,4,1,Copa Premio Honor Uruguayo,Montevideo,Uruguay
24/08/1919,Sweden,Netherlands,4,1,Friendly,Stockholm,Sweden
24/08/1919,Uruguay,Argentina,2,1,Copa Newton,Montevideo,Uruguay
31/08/1919,Norway,Netherlands,1,1,Friendly,Oslo,Norway
07/09/1919,Argentina,Uruguay,1,2,Copa Lipton,Buenos Aires,Argentina
